Author,Author Birth,Author Death,Author Given,Author Surname,Copyright Status,Language,LoC Class,Num,Subject,Title,charset,gd-num-padded,gd-path,href,Number of Authors,Number of Genres,is_english_fiction,original_path,tokenized_path,cw_df_path,Author Birth Century
['Robert Louis Stevenson'],[1850],[1894],['Robert Louis'],['Stevenson'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],43,"['Multiple personality -- Fiction', 'Self-experimentation in medicine -- Fiction', 'Psychological fiction', 'Physicians -- Fiction', 'London (England) -- Fiction', 'Horror tales', 'Science fiction']",['The Strange Case of Dr. Jekyll and Mr. Hyde'],us-ascii,43,000/00043.txt,/4/43/43.zip,1,7,True,../data/gutenberg-dammit-files/000/00043.txt,../data/gutenberg-dammit-files/000/00043_tagged.pickle,../data/gutenberg-dammit-files/000/00043_cw_df.pickle,1800
['Willa Sibert Cather'],[1873],[1947],['Willa Sibert'],['Cather'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],44,"['Women singers -- Fiction', 'Children of clergy -- Fiction', 'Swedish Americans -- Fiction', 'Young women -- Fiction', 'Opera -- Fiction', 'Chicago (Ill.) -- Fiction', 'Colorado -- Fiction', 'Musical fiction', 'Bildungsromans']",['The Song of the Lark'],us-ascii,44,000/00044.txt,/4/44/44.zip,1,9,True,../data/gutenberg-dammit-files/000/00044.txt,../data/gutenberg-dammit-files/000/00044_tagged.pickle,../data/gutenberg-dammit-files/000/00044_cw_df.pickle,1800
['L. M. (Lucy Maud) Montgomery'],[1874],[1942],['L. M. (Lucy Maud)'],['Montgomery'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],45,"['Canada -- History -- 1867-1914 -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Islands -- Fiction', 'Friendship -- Fiction', 'Orphans -- Fiction']",['Anne of Green Gables'],us-ascii,45,000/00045.txt,/4/45/45.zip,1,6,True,../data/gutenberg-dammit-files/000/00045.txt,../data/gutenberg-dammit-files/000/00045_tagged.pickle,../data/gutenberg-dammit-files/000/00045_cw_df.pickle,1800
['Charles Dickens'],[1812],[1870],['Charles'],['Dickens'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PR: Language and Literatures: English literature']",46,"['Scrooge, Ebenezer (Fictitious character) -- Fiction', 'Poor families -- Fiction', 'Sick children -- Fiction', 'Misers -- Fiction', 'London (England) -- Fiction', 'Christmas stories', 'Ghost stories']",['A Christmas Carol'],iso-8859-1,46,000/00046.txt,/4/46/46_8.zip,1,7,True,../data/gutenberg-dammit-files/000/00046.txt,../data/gutenberg-dammit-files/000/00046_tagged.pickle,../data/gutenberg-dammit-files/000/00046_cw_df.pickle,1800
['L. M. (Lucy Maud) Montgomery'],[1874],[1942],['L. M. (Lucy Maud)'],['Montgomery'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],47,"['Canada -- History -- 1914-1945 -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Islands -- Fiction', 'Orphans -- Fiction', 'Teachers -- Fiction']",['Anne of Avonlea'],us-ascii,47,000/00047.txt,/4/47/47.zip,1,5,True,../data/gutenberg-dammit-files/000/00047.txt,../data/gutenberg-dammit-files/000/00047_tagged.pickle,../data/gutenberg-dammit-files/000/00047_cw_df.pickle,1800
['L. M. (Lucy Maud) Montgomery'],[1874],[1942],['L. M. (Lucy Maud)'],['Montgomery'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],51,"['Canada -- History -- 1914-1945 -- Fiction', 'Nova Scotia -- History -- 20th century -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Universities and colleges -- Fiction', 'Interpersonal relations -- Fiction', 'Self-perception -- Fiction', 'Orphans -- Fiction']",['Anne of the Island'],us-ascii,51,000/00051.txt,/5/51/51.zip,1,7,True,../data/gutenberg-dammit-files/000/00051.txt,../data/gutenberg-dammit-files/000/00051_tagged.pickle,../data/gutenberg-dammit-files/000/00051_cw_df.pickle,1800
['L. Frank (Lyman Frank) Baum'],[1856],[1919],['L. Frank (Lyman Frank)'],['Baum'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],54,"['Fantasy', 'Oz (Imaginary place) -- Fiction']",['The Marvelous Land of Oz'],utf-8,54,000/00054.txt,/etext93/ozland10.zip,1,2,True,../data/gutenberg-dammit-files/000/00054.txt,../data/gutenberg-dammit-files/000/00054_tagged.pickle,../data/gutenberg-dammit-files/000/00054_cw_df.pickle,1800
['L. Frank (Lyman Frank) Baum'],[1856],[1919],['L. Frank (Lyman Frank)'],['Baum'],['Not copyrighted in the United States.'],['English'],"['PS: Language and Literatures: American and Canadian literature', 'PZ: Language and Literatures: Juvenile belles lettres']",55,"['Oz (Imaginary place) -- Fiction', 'Fantasy']",['The Wonderful Wizard of Oz'],us-ascii,55,000/00055.txt,/5/55/55.zip,1,2,True,../data/gutenberg-dammit-files/000/00055.txt,../data/gutenberg-dammit-files/000/00055_tagged.pickle,../data/gutenberg-dammit-files/000/00055_cw_df.pickle,1800
['Baroness Emmuska Orczy Orczy'],[1865],[1947],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],60,"['Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'British -- France -- Fiction', 'Nobility -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Historical fiction', 'Adventure stories']",['The Scarlet Pimpernel'],us-ascii,60,000/00060.txt,/6/60/60.zip,1,6,True,../data/gutenberg-dammit-files/000/00060.txt,../data/gutenberg-dammit-files/000/00060_tagged.pickle,../data/gutenberg-dammit-files/000/00060_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],62,"['Dejah Thoris (Fictitious character) -- Fiction', 'Carter, John (Fictitious character) -- Fiction', 'Princesses -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction']",['A Princess of Mars'],us-ascii,62,000/00062.txt,/6/62/62.zip,1,5,True,../data/gutenberg-dammit-files/000/00062.txt,../data/gutenberg-dammit-files/000/00062_tagged.pickle,../data/gutenberg-dammit-files/000/00062_cw_df.pickle,1800
