Author,Author Birth,Author Death,Author Given,Author Surname,Copyright Status,Language,LoC Class,Num,Subject,Title,charset,gd-num-padded,gd-path,href,Number of Authors,Number of Genres,is_english_fiction,original_path,tokenized_path,cw_df_path,Author Birth Century
['Margaret Vandercook'],[1876],['?'],['Margaret'],['Vandercook'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],8662,['Camp Fire Girls -- Juvenile fiction'],['The Camp Fire Girls at Sunrise Hill'],us-ascii,8662,086/08662.txt,/etext05/cfgsh10.zip,1,1,True,../data/gutenberg-dammit-files/086/08662.txt,../data/gutenberg-dammit-files/086/08662_tagged.pickle,../data/gutenberg-dammit-files/086/08662_cw_df.pickle,1800
['Alexander Lange Kielland'],[1849],[1906],['Alexander Lange'],['Kielland'],['Not copyrighted in the United States.'],['English'],"['PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures']",8663,"['Norway -- Social life and customs -- Fiction', 'Kielland, Alexander Lange, 1849-1906 -- Translations into English']",['Tales of Two Countries'],iso-8859-1,8663,086/08663.txt,/8/6/6/8663/8663_8.zip,1,2,True,../data/gutenberg-dammit-files/086/08663.txt,../data/gutenberg-dammit-files/086/08663_tagged.pickle,../data/gutenberg-dammit-files/086/08663_cw_df.pickle,1800
['Charles James Lever'],[1806],[1872],['Charles James'],['Lever'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8674,"['Peninsular War, 1807-1814 -- Fiction']","[""Charles O'Malley, The Irish Dragoon, Volume 2""]",iso-8859-1,8674,086/08674.txt,/8/6/7/8674/8674_8.zip,1,1,True,../data/gutenberg-dammit-files/086/08674.txt,../data/gutenberg-dammit-files/086/08674_tagged.pickle,../data/gutenberg-dammit-files/086/08674_cw_df.pickle,1800
['G. A. (George Alfred) Henty'],[1832],[1902],['G. A. (George Alfred)'],['Henty'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8679,"['Historical fiction', 'Netherlands -- History -- Wars of Independence, 1556-1648 -- Fiction']","[""By England's Aid\tOr, the Freeing of the Netherlands, 1585-1604""]",iso-8859-1,8679,086/08679.txt,/etext05/8beng10.zip,1,2,True,../data/gutenberg-dammit-files/086/08679.txt,../data/gutenberg-dammit-files/086/08679_tagged.pickle,../data/gutenberg-dammit-files/086/08679_cw_df.pickle,1800
['Young Ewing Allison'],[1853],[1932],['Young Ewing'],['Allison'],['Not copyrighted in the United States.'],['English'],"['PN: Language and Literatures: Literature: General, Criticism, Collections', 'Z: Bibliography, Library science']",8686,"['Books and reading', 'Fiction -- History and criticism']",['The Delicious Vice'],iso-8859-1,8686,086/08686.txt,/etext05/8tdvc10.zip,1,2,True,../data/gutenberg-dammit-files/086/08686.txt,../data/gutenberg-dammit-files/086/08686_tagged.pickle,../data/gutenberg-dammit-files/086/08686_cw_df.pickle,1800
['Louisa May Alcott'],[1832],[1888],['Louisa May'],['Alcott'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],8694,"['Christmas stories', 'Forgers -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Young men -- Fiction', 'Ghost stories']","[""The Abbot's Ghost, or Maurice Treherne's Temptation\tA Christmas Story""]",iso-8859-1,8694,086/08694.txt,/etext05/8abgh10.zip,1,6,True,../data/gutenberg-dammit-files/086/08694.txt,../data/gutenberg-dammit-files/086/08694_tagged.pickle,../data/gutenberg-dammit-files/086/08694_cw_df.pickle,1800
['Sir Arthur Conan Doyle'],[1859],[1930],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8727,"['Short stories, English', 'Historical fiction, English']",['The Last Galley\tImpressions and Tales'],us-ascii,8727,087/08727.txt,/8/7/2/8727/8727.zip,1,2,True,../data/gutenberg-dammit-files/087/08727.txt,../data/gutenberg-dammit-files/087/08727_tagged.pickle,../data/gutenberg-dammit-files/087/08727_cw_df.pickle,1800
['Mary Grant Bruce'],[1878],[1958],['Mary Grant'],['Bruce'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PR: Language and Literatures: English literature']",8730,"['Australia -- Social conditions -- Juvenile fiction', 'Adventure stories, Australian', 'Country life -- Australia -- Juvenile fiction']",['A Little Bush Maid'],us-ascii,8730,087/08730.txt,/8/7/3/8730/8730.zip,1,3,True,../data/gutenberg-dammit-files/087/08730.txt,../data/gutenberg-dammit-files/087/08730_tagged.pickle,../data/gutenberg-dammit-files/087/08730_cw_df.pickle,1800
['G. A. (George Alfred) Henty'],[1832],[1902],['G. A. (George Alfred)'],['Henty'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],8732,['Luddites -- Juvenile fiction'],['Through the Fray\tA Tale of the Luddite Riots'],us-ascii,8732,087/08732.txt,/8/7/3/8732/8732.zip,1,1,True,../data/gutenberg-dammit-files/087/08732.txt,../data/gutenberg-dammit-files/087/08732_tagged.pickle,../data/gutenberg-dammit-files/087/08732_cw_df.pickle,1800
['Mrs. Humphry Ward'],[1851],[1920],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8737,['Religious fiction'],['Robert Elsmere'],iso-8859-1,8737,087/08737.txt,/8/7/3/8737/8737_8.zip,1,1,True,../data/gutenberg-dammit-files/087/08737.txt,../data/gutenberg-dammit-files/087/08737_tagged.pickle,../data/gutenberg-dammit-files/087/08737_cw_df.pickle,1800
['James Branch Cabell'],[1879],[1958],['James Branch'],['Cabell'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],8771,"['Allegories', 'Fantasy fiction', 'Historical fiction', 'Middle Ages -- Fiction']",['Jurgen\tA Comedy of Justice'],iso-8859-1,8771,087/08771.txt,/etext05/8jurg10.zip,1,4,True,../data/gutenberg-dammit-files/087/08771.txt,../data/gutenberg-dammit-files/087/08771_tagged.pickle,../data/gutenberg-dammit-files/087/08771_cw_df.pickle,1800
['Booth Tarkington'],[1869],[1946],['Booth'],['Tarkington'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],8867,"['Domestic fiction', 'Psychological fiction', 'Indiana -- Fiction', 'Social change -- Fiction', 'Mothers and sons -- Fiction', 'Loss (Psychology) -- Fiction', 'Children of the rich -- Fiction', 'Inheritance and succession -- Fiction']",['The Magnificent Ambersons'],iso-8859-1,8867,088/08867.txt,/8/8/6/8867/8867_8.zip,1,8,True,../data/gutenberg-dammit-files/088/08867.txt,../data/gutenberg-dammit-files/088/08867_tagged.pickle,../data/gutenberg-dammit-files/088/08867_cw_df.pickle,1800
['Henry Blake Fuller'],[1857],[1929],['Henry Blake'],['Fuller'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],8891,"['Chicago (Ill.) -- Fiction', 'City and town life -- Fiction']",['With the Procession'],iso-8859-1,8891,088/08891.txt,/etext05/8wpro10.zip,1,2,True,../data/gutenberg-dammit-files/088/08891.txt,../data/gutenberg-dammit-files/088/08891_tagged.pickle,../data/gutenberg-dammit-files/088/08891_cw_df.pickle,1800
['Anthony Trollope'],[1815],[1882],['Anthony'],['Trollope'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8897,"['Prague (Czech Republic) -- Fiction', 'Love stories']",['Nina Balatka'],us-ascii,8897,088/08897.txt,/8/8/9/8897/8897.zip,1,2,True,../data/gutenberg-dammit-files/088/08897.txt,../data/gutenberg-dammit-files/088/08897_tagged.pickle,../data/gutenberg-dammit-files/088/08897_cw_df.pickle,1800
['Maurice Henry Hewlett'],[1861],[1923],['Maurice Henry'],['Hewlett'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8934,"['Love stories', 'Historical fiction', 'England -- Fiction', 'Knights and knighthood -- Fiction']",['The Forest Lovers'],iso-8859-1,8934,089/08934.txt,/etext05/8frst10.zip,1,4,True,../data/gutenberg-dammit-files/089/08934.txt,../data/gutenberg-dammit-files/089/08934_tagged.pickle,../data/gutenberg-dammit-files/089/08934_cw_df.pickle,1800
['Charles James Lever'],[1806],[1872],['Charles James'],['Lever'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8941,['Ireland -- Fiction'],['Lord Kilgobbin'],iso-8859-1,8941,089/08941.txt,/8/9/4/8941/8941_8.zip,1,1,True,../data/gutenberg-dammit-files/089/08941.txt,../data/gutenberg-dammit-files/089/08941_tagged.pickle,../data/gutenberg-dammit-files/089/08941_cw_df.pickle,1800
['M. E. (Mary Elizabeth) Braddon'],[1835],[1915],['M. E. (Mary Elizabeth)'],['Braddon'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],8954,"['Domestic fiction', 'Psychological fiction', 'England -- Fiction', 'Married women -- Fiction', 'Deception -- Fiction', 'Bigamy -- Fiction']","[""Lady Audley's Secret""]",iso-8859-1,8954,089/08954.txt,/etext05/8lasc10.zip,1,6,True,../data/gutenberg-dammit-files/089/08954.txt,../data/gutenberg-dammit-files/089/08954_tagged.pickle,../data/gutenberg-dammit-files/089/08954_cw_df.pickle,1800
['Robert Sheckley'],[1928],[2005],['Robert'],['Sheckley'],['Copyrighted work. See license inside work.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9055,"['Short stories', 'Science fiction']",['Bad Medicine'],us-ascii,9055,090/09055.txt,/etext05/badmd10.zip,1,2,True,../data/gutenberg-dammit-files/090/09055.txt,../data/gutenberg-dammit-files/090/09055_tagged.pickle,../data/gutenberg-dammit-files/090/09055_cw_df.pickle,1900
['William Alexander Fraser'],[1859],[1933],['William Alexander'],['Fraser'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9088,['Horse racing -- Fiction'],['Thoroughbreds'],us-ascii,9088,090/09088.txt,/9/0/8/9088/9088.zip,1,1,True,../data/gutenberg-dammit-files/090/09088.txt,../data/gutenberg-dammit-files/090/09088_tagged.pickle,../data/gutenberg-dammit-files/090/09088_cw_df.pickle,1800
['William Godwin'],[1756],[1836],['William'],['Godwin'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9152,"['Druids and druidism -- Fiction', 'Wales -- Fiction', 'Pastoral fiction']",['Imogen\tA Pastoral Romance'],us-ascii,9152,091/09152.txt,/etext05/imogn10.zip,1,3,True,../data/gutenberg-dammit-files/091/09152.txt,../data/gutenberg-dammit-files/091/09152_tagged.pickle,../data/gutenberg-dammit-files/091/09152_cw_df.pickle,1700
['Charlotte Brontë'],[1816],[1855],['Charlotte'],['Brontë'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9182,"['Love stories', 'Autobiographical fiction', 'Brussels (Belgium) -- Fiction', 'Women teachers -- Fiction', 'British -- Belgium -- Fiction']",['Villette'],iso-8859-1,9182,091/09182.txt,/etext05/8vill10.zip,1,5,True,../data/gutenberg-dammit-files/091/09182.txt,../data/gutenberg-dammit-files/091/09182_tagged.pickle,../data/gutenberg-dammit-files/091/09182_cw_df.pickle,1800
['Thomas Chandler Haliburton'],[1796],[1865],['Thomas Chandler'],['Haliburton'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9196,"['Slick, Sam (Fictitious character) -- Fiction']","['The Clockmaker\tOr, the Sayings and Doings of Samuel Slick, of Slickville']",us-ascii,9196,091/09196.txt,/etext05/clckm10a.zip,1,1,True,../data/gutenberg-dammit-files/091/09196.txt,../data/gutenberg-dammit-files/091/09196_tagged.pickle,../data/gutenberg-dammit-files/091/09196_cw_df.pickle,1700
['Nathaniel Hawthorne'],[1804],[1864],['Nathaniel'],['Hawthorne'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9201,"['New England -- Social life and customs -- Fiction', 'Short stories']","['Sunday at Home (From ""Twice Told Tales"")']",us-ascii,9201,092/09201.txt,/etext05/haw2810.zip,1,2,True,../data/gutenberg-dammit-files/092/09201.txt,../data/gutenberg-dammit-files/092/09201_tagged.pickle,../data/gutenberg-dammit-files/092/09201_cw_df.pickle,1800
['Samuel Richardson'],[1689],[1761],['Samuel'],['Richardson'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9296,"['Epistolary fiction', 'Psychological fiction', 'England -- Fiction', 'Rape victims -- Fiction', 'Kidnapping victims -- Fiction', 'Conflict of generations -- Fiction', 'Young women -- Crimes against -- Fiction']",['Clarissa Harlowe; or the history of a young lady — Volume 1'],us-ascii,9296,092/09296.txt,/9/2/9/9296/9296.zip,1,7,True,../data/gutenberg-dammit-files/092/09296.txt,../data/gutenberg-dammit-files/092/09296_tagged.pickle,../data/gutenberg-dammit-files/092/09296_cw_df.pickle,1600
['William Godwin'],[1756],[1836],['William'],['Godwin'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9299,"['Epistolary fiction', 'Italy -- Fiction']","['Italian Letters, Vols. I and II\tThe History of the Count de St. Julian']",iso-8859-1,9299,092/09299.txt,/etext05/8itlt10.zip,1,2,True,../data/gutenberg-dammit-files/092/09299.txt,../data/gutenberg-dammit-files/092/09299_tagged.pickle,../data/gutenberg-dammit-files/092/09299_cw_df.pickle,1700
['Robert Barr'],[1850],[1912],['Robert'],['Barr'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9300,"['Women journalists -- Fiction', 'Detective and mystery stories']","['Jennie Baxter, Journalist']",iso-8859-1,9300,093/09300.txt,/9/3/0/9300/9300_8.zip,1,2,True,../data/gutenberg-dammit-files/093/09300.txt,../data/gutenberg-dammit-files/093/09300_tagged.pickle,../data/gutenberg-dammit-files/093/09300_cw_df.pickle,1800
['Arthur Schnitzler'],[1862],[1931],['Arthur'],['Schnitzler'],['Not copyrighted in the United States.'],['English'],"['PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures']",9310,"['Sex customs -- Fiction', 'Europe -- Fiction', 'Casanova, Giacomo, 1725-1798 -- Fiction', 'Biographical fiction', 'Adventure stories']","[""Casanova's Homecoming""]",iso-8859-1,9310,093/09310.txt,/9/3/1/9310/9310_8.zip,1,5,True,../data/gutenberg-dammit-files/093/09310.txt,../data/gutenberg-dammit-files/093/09310_tagged.pickle,../data/gutenberg-dammit-files/093/09310_cw_df.pickle,1800
['Helen Hunt Jackson'],[1830],[1885],['Helen Hunt'],['Jackson'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9311,['Fiction'],"[""Hetty's Strange History""]",iso-8859-1,9311,093/09311.txt,/9/3/1/9311/9311_8.zip,1,1,True,../data/gutenberg-dammit-files/093/09311.txt,../data/gutenberg-dammit-files/093/09311_tagged.pickle,../data/gutenberg-dammit-files/093/09311_cw_df.pickle,1800
['Harold Bell Wright'],[1872],[1944],['Harold Bell'],['Wright'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9314,"['Ozark Mountains -- Fiction', 'Christian fiction', 'Clergy -- Fiction', 'City and town life -- Fiction']",['The Calling of Dan Matthews'],us-ascii,9314,093/09314.txt,/etext05/clgdm10.zip,1,4,True,../data/gutenberg-dammit-files/093/09314.txt,../data/gutenberg-dammit-files/093/09314_tagged.pickle,../data/gutenberg-dammit-files/093/09314_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9315,['Physicians -- Fiction'],['A Doctor of the Old School — Volume 1'],us-ascii,9315,093/09315.txt,/9/3/1/9315/9315.zip,1,1,True,../data/gutenberg-dammit-files/093/09315.txt,../data/gutenberg-dammit-files/093/09315_tagged.pickle,../data/gutenberg-dammit-files/093/09315_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9316,['Physicians -- Fiction'],['A Doctor of the Old School — Volume 2'],us-ascii,9316,093/09316.txt,/9/3/1/9316/9316.zip,1,1,True,../data/gutenberg-dammit-files/093/09316.txt,../data/gutenberg-dammit-files/093/09316_tagged.pickle,../data/gutenberg-dammit-files/093/09316_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9317,['Physicians -- Fiction'],['A Doctor of the Old School — Volume 3'],us-ascii,9317,093/09317.txt,/9/3/1/9317/9317.zip,1,1,True,../data/gutenberg-dammit-files/093/09317.txt,../data/gutenberg-dammit-files/093/09317_tagged.pickle,../data/gutenberg-dammit-files/093/09317_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9318,['Physicians -- Fiction'],['A Doctor of the Old School — Volume 4'],us-ascii,9318,093/09318.txt,/9/3/1/9318/9318.zip,1,1,True,../data/gutenberg-dammit-files/093/09318.txt,../data/gutenberg-dammit-files/093/09318_tagged.pickle,../data/gutenberg-dammit-files/093/09318_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9319,['Physicians -- Fiction'],['A Doctor of the Old School — Volume 5'],us-ascii,9319,093/09319.txt,/9/3/1/9319/9319.zip,1,1,True,../data/gutenberg-dammit-files/093/09319.txt,../data/gutenberg-dammit-files/093/09319_tagged.pickle,../data/gutenberg-dammit-files/093/09319_cw_df.pickle,1800
['Ian Maclaren'],[1850],[1907],['Ian'],['Maclaren'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9320,['Physicians -- Fiction'],['A Doctor of the Old School — Complete'],us-ascii,9320,093/09320.txt,/9/3/2/9320/9320.zip,1,1,True,../data/gutenberg-dammit-files/093/09320.txt,../data/gutenberg-dammit-files/093/09320_tagged.pickle,../data/gutenberg-dammit-files/093/09320_cw_df.pickle,1800
['Ernest Thompson Seton'],[1860],[1946],['Ernest Thompson'],['Seton'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],9330,['Grizzly bear -- Juvenile fiction'],['The Biography of a Grizzly'],iso-8859-1,9330,093/09330.txt,/etext05/8griz10.zip,1,1,True,../data/gutenberg-dammit-files/093/09330.txt,../data/gutenberg-dammit-files/093/09330_tagged.pickle,../data/gutenberg-dammit-files/093/09330_cw_df.pickle,1800
['M. E. (Mary Elizabeth) Braddon'],[1835],[1915],['M. E. (Mary Elizabeth)'],['Braddon'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9362,['Fiction'],['Birds of Prey'],iso-8859-1,9362,093/09362.txt,/9/3/6/9362/9362_8.zip,1,1,True,../data/gutenberg-dammit-files/093/09362.txt,../data/gutenberg-dammit-files/093/09362_tagged.pickle,../data/gutenberg-dammit-files/093/09362_cw_df.pickle,1800
['Mrs. (Catherine Grace Frances) Gore'],[1799],[1861],['Mrs. (Catherine Grace Frances)'],['Gore'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9387,['Fiction'],"['Theresa Marchmont\tOr, the Maid of Honour\tA Tale']",iso-8859-1,9387,093/09387.txt,/9/3/8/9387/9387_8.zip,1,1,True,../data/gutenberg-dammit-files/093/09387.txt,../data/gutenberg-dammit-files/093/09387_tagged.pickle,../data/gutenberg-dammit-files/093/09387_cw_df.pickle,1700
['Annie F. (Annie Fellows) Johnston'],[1863],[1931],['Annie F. (Annie Fellows)'],['Johnston'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],9407,"['Kentucky -- Juvenile fiction', 'Farm life -- Kentucky -- Juvenile fiction', 'Grandfathers -- Juvenile fiction', 'United States -- History -- Civil War, 1861-1865 -- Juvenile fiction']",['The Little Colonel'],us-ascii,9407,094/09407.txt,/9/4/0/9407/9407.zip,1,4,True,../data/gutenberg-dammit-files/094/09407.txt,../data/gutenberg-dammit-files/094/09407_tagged.pickle,../data/gutenberg-dammit-files/094/09407_cw_df.pickle,1800
['Gene Stratton-Porter'],[1863],[1924],['Gene'],['Stratton-Porter'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9489,"['Didactic fiction', 'Indiana -- Fiction', 'Orphans -- Fiction', 'City and town life -- Fiction']","[""Michael O'Halloran""]",iso-8859-1,9489,094/09489.txt,/etext05/8mcoh10.zip,1,4,True,../data/gutenberg-dammit-files/094/09489.txt,../data/gutenberg-dammit-files/094/09489_tagged.pickle,../data/gutenberg-dammit-files/094/09489_cw_df.pickle,1800
['Sir Arthur Conan Doyle'],[1859],[1930],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9504,"['Great Britain -- History -- Stuarts, 1603-1714 -- Fiction', 'Grandparent and child -- Fiction']","['Micah Clarke\tHis Statement as made to his three grandchildren Joseph,\tGervas and Reuben During the Hard Winter of 1734']",us-ascii,9504,095/09504.txt,/9/5/0/9504/9504.zip,1,2,True,../data/gutenberg-dammit-files/095/09504.txt,../data/gutenberg-dammit-files/095/09504_tagged.pickle,../data/gutenberg-dammit-files/095/09504_cw_df.pickle,1800
['Pierre Loti'],[1850],[1923],['Pierre'],['Loti'],['Not copyrighted in the United States.'],['English'],"['PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese']",9616,['Pyrenees -- Social life and customs -- Fiction'],['Ramuntcho'],us-ascii,9616,096/09616.txt,/9/6/1/9616/9616.zip,1,1,True,../data/gutenberg-dammit-files/096/09616.txt,../data/gutenberg-dammit-files/096/09616_tagged.pickle,../data/gutenberg-dammit-files/096/09616_cw_df.pickle,1800
['Booth Tarkington'],[1869],[1946],['Booth'],['Tarkington'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],9659,['Indiana -- Fiction'],['The Gentleman from Indiana'],us-ascii,9659,096/09659.txt,/9/6/5/9659/9659.zip,1,1,True,../data/gutenberg-dammit-files/096/09659.txt,../data/gutenberg-dammit-files/096/09659_tagged.pickle,../data/gutenberg-dammit-files/096/09659_cw_df.pickle,1800
['Joseph A. (Joseph Alexander) Altsheler'],[1862],[1919],['Joseph A. (Joseph Alexander)'],['Altsheler'],['Not copyrighted in the United States.'],['English'],['PZ: Language and Literatures: Juvenile belles lettres'],9745,"['Vicksburg (Miss.) -- History -- Siege, 1863 -- Juvenile fiction', 'United States -- History -- Civil War, 1861-1865 -- Juvenile fiction', 'Chickamauga, Battle of, Ga., 1863 -- Juvenile fiction']",['The Rock of Chickamauga\tA Story of the Western Crisis'],us-ascii,9745,097/09745.txt,/9/7/4/9745/9745.zip,1,3,True,../data/gutenberg-dammit-files/097/09745.txt,../data/gutenberg-dammit-files/097/09745_tagged.pickle,../data/gutenberg-dammit-files/097/09745_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9756,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Book I.']",us-ascii,9756,097/09756.txt,/etext06/b196w10.zip,1,2,True,../data/gutenberg-dammit-files/097/09756.txt,../data/gutenberg-dammit-files/097/09756_tagged.pickle,../data/gutenberg-dammit-files/097/09756_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9757,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Book II.']",us-ascii,9757,097/09757.txt,/etext06/b197w10.zip,1,2,True,../data/gutenberg-dammit-files/097/09757.txt,../data/gutenberg-dammit-files/097/09757_tagged.pickle,../data/gutenberg-dammit-files/097/09757_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9758,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Book III.']",us-ascii,9758,097/09758.txt,/etext06/b198w10.zip,1,2,True,../data/gutenberg-dammit-files/097/09758.txt,../data/gutenberg-dammit-files/097/09758_tagged.pickle,../data/gutenberg-dammit-files/097/09758_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9759,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Book IV.']",us-ascii,9759,097/09759.txt,/etext06/b199w10.zip,1,2,True,../data/gutenberg-dammit-files/097/09759.txt,../data/gutenberg-dammit-files/097/09759_tagged.pickle,../data/gutenberg-dammit-files/097/09759_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9760,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Book V.']",us-ascii,9760,097/09760.txt,/etext06/b200w10.zip,1,2,True,../data/gutenberg-dammit-files/097/09760.txt,../data/gutenberg-dammit-files/097/09760_tagged.pickle,../data/gutenberg-dammit-files/097/09760_cw_df.pickle,1800
['Baron Edward Bulwer Lytton Lytton'],[1803],[1873],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9761,"['Granada (Spain) -- History -- Siege, 1491-1492 -- Fiction', 'Sieges -- Fiction']","['Leila or, the Siege of Granada, Complete']",us-ascii,9761,097/09761.txt,/9/7/6/9761/9761.zip,1,2,True,../data/gutenberg-dammit-files/097/09761.txt,../data/gutenberg-dammit-files/097/09761_tagged.pickle,../data/gutenberg-dammit-files/097/09761_cw_df.pickle,1800
['Samuel Richardson'],[1689],[1761],['Samuel'],['Richardson'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9798,"['Young women -- Crimes against -- Fiction', 'Rape victims -- Fiction', 'Psychological fiction', 'Kidnapping victims -- Fiction', 'Epistolary fiction', 'England -- Fiction', 'Conflict of generations -- Fiction']",['Clarissa Harlowe; or the history of a young lady — Volume 2'],us-ascii,9798,097/09798.txt,/9/7/9/9798/9798.zip,1,7,True,../data/gutenberg-dammit-files/097/09798.txt,../data/gutenberg-dammit-files/097/09798_tagged.pickle,../data/gutenberg-dammit-files/097/09798_cw_df.pickle,1600
"['A. M. (Alice Muriel) Williamson', 'C. N. (Charles Norris) Williamson']","[1869, 1859]","[1933, 1920]","['A. M. (Alice Muriel)', 'C. N. (Charles Norris)']","['Williamson', 'Williamson']",['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9799,"['Man-woman relationships -- Fiction', 'Voyages and travels -- Fiction', 'Egypt -- Fiction']",['It Happened in Egypt'],iso-8859-1,9799,097/09799.txt,/etext06/8hpeg10.zip,2,3,True,../data/gutenberg-dammit-files/097/09799.txt,../data/gutenberg-dammit-files/097/09799_tagged.pickle,../data/gutenberg-dammit-files/097/09799_cw_df.pickle,1800
['E. W. (Ernest William) Hornung'],[1866],[1921],['E. W. (Ernest William)'],['Hornung'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],9806,['Raffles (Fictitious character) -- Fiction'],['Mr. Justice Raffles'],iso-8859-1,9806,098/09806.txt,/etext06/8raff10.zip,1,1,True,../data/gutenberg-dammit-files/098/09806.txt,../data/gutenberg-dammit-files/098/09806_tagged.pickle,../data/gutenberg-dammit-files/098/09806_cw_df.pickle,1800
